-e norm_key	source_class	source_detail	recipe_name
androidsdkminimalmunki	dynamic-scrape	developer.android.com	android_sdk.minimal.munki
androidsdkminimalpkg	dynamic-scrape	developer.android.com	android_sdk.minimal.pkg
androidstudio	dynamic-scrape		AndroidStudio
androidstudiodownload	dynamic-scrape		AndroidStudio.download
androidstudioinstall	dynamic-scrape		Android_Studio.install
androidstudiojamf	dynamic-scrape		AndroidStudio.jamf
androidstudiomunki	dynamic-scrape		AndroidStudio.munki
androidstudiopatchjamf	dynamic-scrape		Android_Studio-Patch.jamf
androidstudiopkg	dynamic-scrape		Android_Studio.pkg
androidstudiopkguploadjamf	dynamic-scrape		AndroidStudio-pkg-upload.jamf
androidstudiosign	dynamic-scrape		Android_Studio.sign
androidstudiouniversaldownload	dynamic-scrape		AndroidStudio-Universal.download
androidstudiouploadjamf	dynamic-scrape		Android_Studio.upload.jamf
ankerwork	dynamic-scrape	ankerwork.s3.us-west-2.amazonaws.com	AnkerWork
ankerworkdownload	dynamic-scrape	ankerwork.s3.us-west-2.amazonaws.com	AnkerWork.download
anki	github	ankitects/anki	Anki
ankidownload	github	ankitects/anki	Anki.download
ankimunki	github	ankitects/anki	Anki.munki
antigravity	dynamic-scrape	antigravity.google	Antigravity
antigravitydownload	dynamic-scrape	antigravity.google	Antigravity.download
antigravityide	dynamic-scrape	antigravity.google	AntigravityIDE
antigravityidedownload	dynamic-scrape	antigravity.google	Antigravity IDE.download
antigravityidemunki	dynamic-scrape	antigravity.google	AntigravityIDE.munki
antigravityidepkg	dynamic-scrape	antigravity.google	AntigravityIDE.pkg
antigravitymunki	dynamic-scrape	antigravity.google	Antigravity.munki
antigravitypkg	dynamic-scrape	antigravity.google	Antigravity.pkg
antinote	sparkle/feed	antinote.io	Antinote
antinotedownload	sparkle/feed	antinote.io	Antinote.download
antinoteinstall	sparkle/feed	antinote.io	Antinote.install
antinotepkg	sparkle/feed	antinote.io	Antinote.pkg
anycubicslicer	dynamic-scrape	store.anycubic.com	AnycubicSlicer
anycubicslicerdownload	dynamic-scrape	store.anycubic.com	AnycubicSlicer.download
anydesk	dynamic-scrape	anydesk.com	AnyDesk
anydeskwindownload	dynamic-scrape	anydesk.com	AnyDesk-Win.download
anylist	dynamic-scrape		AnyList
anylistdownload	dynamic-scrape		AnyList.download
anylistmunki	dynamic-scrape		AnyList.munki
anyvideoconverter	dynamic-scrape	www.any-video-converter.com	AnyVideoConverter
anyvideoconverterfreeformacdownload	dynamic-scrape	www.any-video-converter.com	Any Video Converter Free for Mac.download
anyvideoconverterfreeformacmunki	dynamic-scrape	www.any-video-converter.com	Any Video Converter Free for Mac.munki
anyvideoconverterfreeformacpkg	dynamic-scrape	www.any-video-converter.com	Any Video Converter Free for Mac.pkg
apachedirectorystudio	dynamic-scrape	archive.apache.org	ApacheDirectoryStudio
apachedirectorystudiodownload	dynamic-scrape	archive.apache.org	ApacheDirectoryStudio.download
apachedirectorystudioinstall	dynamic-scrape	archive.apache.org	ApacheDirectoryStudio.install
apachedirectorystudiomunki	dynamic-scrape	archive.apache.org	ApacheDirectoryStudio.munki
apachedirectorystudiopkg	dynamic-scrape	archive.apache.org	ApacheDirectoryStudio.pkg
apachenetbeans	dynamic-scrape	downloads.apache.org	ApacheNetBeans
apachenetbeans11	dynamic-scrape		ApacheNetBeans11
apachenetbeans11download	dynamic-scrape		Apache NetBeans 11.download
apachenetbeans11munki	dynamic-scrape		Apache NetBeans 11.munki
apachenetbeans12	dynamic-scrape		ApacheNetBeans12
apachenetbeans12download	dynamic-scrape		Apache NetBeans 12.download
apachenetbeans13	dynamic-scrape	archive.apache.org	ApacheNetBeans13
apachenetbeans13download	dynamic-scrape	archive.apache.org	Apache NetBeans 13.download
apachenetbeans13munki	dynamic-scrape	archive.apache.org	Apache NetBeans 13.munki
apachenetbeans15	dynamic-scrape	archive.apache.org	ApacheNetBeans15
apachenetbeans15download	dynamic-scrape	archive.apache.org	Apache NetBeans 15.download
apachenetbeansdownload	dynamic-scrape	downloads.apache.org	Apache NetBeans.download
apfel	github	Arthur-Ficial/apfel	apfel
apfelchat	github	Arthur-Ficial/apfel-chat	apfel-chat
apfelchatdownload	github	Arthur-Ficial/apfel-chat	apfel-chat.download
apfelclip	github	Arthur-Ficial/apfel-clip	apfel-clip
apfelclipdownload	github	Arthur-Ficial/apfel-clip	apfel-clip.download
apfelclipinstall	github	Arthur-Ficial/apfel-clip	apfel-clip.install
apfelclipmunki	github	Arthur-Ficial/apfel-clip	apfel-clip.munki
apfeldownload	github	Arthur-Ficial/apfel	apfel.download
apfelgui	github	Arthur-Ficial/apfel-gui	apfel-gui
apfelguidownload	github	Arthur-Ficial/apfel-gui	apfel-gui.download
apfelguiinstall	github	Arthur-Ficial/apfel-gui	apfel-gui.install
apfelguimunki	github	Arthur-Ficial/apfel-gui	apfel-gui.munki
apfelguipkg	github	Arthur-Ficial/apfel-gui	apfel-gui.pkg
apfelmunki	github	Arthur-Ficial/apfel	apfel.munki
apfelpad	github	Arthur-Ficial/apfelpad	apfelpad
apfelpaddownload	github	Arthur-Ficial/apfelpad	apfelpad.download
apfelquick	github	Arthur-Ficial/apfel-quick	apfel-quick
apfelquickdownload	github	Arthur-Ficial/apfel-quick	apfel-quick.download
apfelquickinstall	github	Arthur-Ficial/apfel-quick	apfel-quick.install
apfelquickmunki	github	Arthur-Ficial/apfel-quick	apfel-quick.munki
appcleaner	sparkle/feed		AppCleaner
appcleaneranduninstaller	sparkle/feed	download.nektony.com	AppCleanerAndUninstaller
appcleaneranduninstallerdownload	sparkle/feed	download.nektony.com	AppCleanerAndUninstaller.download
appcleaneranduninstallermunki	sparkle/feed	download.nektony.com	AppCleanerAndUninstaller.munki
appcleaneranduninstallerpkg	sparkle/feed	download.nektony.com	AppCleanerAndUninstaller.pkg
appcleanerdownload	sparkle/feed		AppCleaner.download
appcleanerfilewave	sparkle/feed		AppCleaner.filewave
appcleanerpkg	sparkle/feed		AppCleaner.pkg
appcode	dynamic-scrape		AppCode
appcodedownload	dynamic-scrape		AppCode.download
appdetective	github	hewigovens/app-detective	AppDetective
appdetectivedownload	github	hewigovens/app-detective	AppDetective.download
appdetectiveinstall	github	hewigovens/app-detective	AppDetective.install
appdetectivemunki	github	hewigovens/app-detective	AppDetective.munki
appdetectivepkg	github	hewigovens/app-detective	AppDetective.pkg
appiumservergui	github	appium/appium-desktop	AppiumServerGUI
appiumserverguidownload	github	appium/appium-desktop	Appium Server GUI.download
appiumserverguimunki	github	appium/appium-desktop	Appium Server GUI.munki
appleaulabdownload	dynamic-scrape	www.apple.com	Apple AU Lab.download
applecontainer	github	apple/container	Apple Container
applecontainerdownload	github	apple/container	AppleContainer.download
appleloops	dynamic-scrape		appleloops
appleloopsmunki	dynamic-scrape		appleLoops.munki
